video_id,title,video_type,source_channel,published_at,published_date,published_year,published_month,view_count,like_count,comment_count,duration,thumbnail
awNSMEtTZPg,[SVT Record] 슈아의 슈퍼볼 관람기 🏈,SVT Record,seventeen_official,2026-03-06T12:59:56Z,2026-03-06,2026,03,137149,14790,223,2.716666666666667,https://i.ytimg.com/vi/awNSMEtTZPg/hqdefault.jpg
hI8JRgWr5bk,#DreamSerenade 🌌 by #이영현 #LEEYOUNGHYUN #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-03-05T03:00:00Z,2026-03-05,2026,03,98642,6162,78,2.3333333333333335,https://i.ytimg.com/vi/hI8JRgWr5bk/hqdefault.jpg
l2Iku1T-Ju0,[INSIDE SEVENTEEN] SEVENTEEN WORLD TOUR [NEW_] BEHIND #2,INSIDE SEVENTEEN,seventeen_official,2026-03-05T12:59:57Z,2026-03-05,2026,03,167091,12497,260,17.066666666666666,https://i.ytimg.com/vi/l2Iku1T-Ju0/hqdefault.jpg
wViGaypln0Y,"[하니왔쫑] I-GOYA in U.K | 영국에서 산책, 또 산책 (with.원우)🚶 | 길거리에서 느껴보는 감성✨",브이로그,seventeen_official,2026-03-04T13:03:58Z,2026-03-04,2026,03,310039,29137,875,10.75,https://i.ytimg.com/vi/wViGaypln0Y/hqdefault.jpg
MhlQPHjTdF4,"도겸X승관 - Die With A Smile (원곡 : Lady Gaga, Bruno Mars) 5 Million Views",커버,seventeen_official,2026-03-02T13:00:43Z,2026-03-02,2026,03,173602,14745,129,0.75,https://i.ytimg.com/vi/MhlQPHjTdF4/hqdefault.jpg
-yMkZxIP8dY,다시 만난 홍콩 🩷🩵 [NEW_] #SEVENTEEN #세븐틴 #SVT_WORLDTOUR #NEW_HONGKONG #SVT_TOUR_NEW_,INSIDE SEVENTEEN,seventeen_official,2026-03-02T11:00:01Z,2026-03-02,2026,03,125230,12412,100,1.0,https://i.ytimg.com/vi/-yMkZxIP8dY/hqdefault.jpg
YZqDV8YR2as,[HOSHI TAMTAM] 무더운 여름 속 뒹굴뒹굴 일상🏠 | 막냇동생 라떼와 집 지키기🐶 | 호랑이의 시선,솔로,seventeen_official,2026-02-26T09:15:02Z,2026-02-26,2026,02,195309,15926,428,13.366666666666667,https://i.ytimg.com/vi/YZqDV8YR2as/hqdefault.jpg
IZjQUtqbfZ4,[INSIDE SEVENTEEN] SEVENTEEN WORLD TOUR [NEW_] BEHIND #1,INSIDE SEVENTEEN,seventeen_official,2026-02-21T12:59:59Z,2026-02-21,2026,02,231958,18656,470,17.783333333333335,https://i.ytimg.com/vi/IZjQUtqbfZ4/hqdefault.jpg
cq56eDSC-f8,[INSIDE SEVENTEEN] 원우 더페이스샵 광고 촬영 비하인드 (WONWOO's THE FACE SHOP ad shoot),INSIDE SEVENTEEN,seventeen_official,2026-02-17T10:17:00Z,2026-02-17,2026,02,85874,10942,577,7.633333333333333,https://i.ytimg.com/vi/cq56eDSC-f8/hqdefault.jpg
Be3FUx6KO9g,세븐틴(SEVENTEEN)이 전하는 2026년 설날 인사 메시지 💌,기타(릴스),seventeen_official,2026-02-16T03:00:01Z,2026-02-16,2026,02,85641,11226,316,1.6833333333333333,https://i.ytimg.com/vi/Be3FUx6KO9g/hqdefault.jpg
vCZA57JAHqI,#Blue ❄️ by #바다 #BADA #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-02-15T09:01:15Z,2026-02-15,2026,02,100783,6566,71,0.7333333333333333,https://i.ytimg.com/vi/vCZA57JAHqI/hqdefault.jpg
iOuMQu8G9J4,기억해 언제나 우린 함께라는 걸🩷🩵#CxM #에스쿱스X민규 #DOUBLE_UP,기타(릴스),seventeen_official,2026-02-14T12:40:15Z,2026-02-14,2026,02,221911,19392,168,0.6333333333333333,https://i.ytimg.com/vi/iOuMQu8G9J4/hqdefault.jpg
